! FILETYPE CSV
! VERSION 1.0,1
! TIMESTAMP Tuesday, 28 November 2017 15:33:45
! NAME Agilent Technologies
! MODEL N9912A
! SERIAL MY51464276
! FIRMWARE_VERSION A.05.34
! CORRECTION 
! GPS Latitude: 
! GPS Longitude: 
! GPS TimeStamp: 0001-01-01 00:00:00Z
! GPS Seconds Since Last Read: 0
! CHECKSUM 2075094754
! DATA Freq,SA Clear-Write,SA Blank,SA Blank,SA Blank
! FREQ UNIT Hz
! DATA UNIT dBm
BEGIN
100000,-7.45894622802734,0,0,0
349750,-36.496940612793,0,0,0
599500,-71.5597991943359,0,0,0
849250,-71.6178741455078,0,0,0
1099000,-76.38916015625,0,0,0
1348750,-75.2773132324219,0,0,0
1598500,-78.2987213134766,0,0,0
1848250,-77.2350234985352,0,0,0
2098000,-79.3772277832031,0,0,0
2347750,-82.2170715332031,0,0,0
2597500,-82.9523468017578,0,0,0
2847250,-83.9711380004883,0,0,0
3097000,-84.9556198120117,0,0,0
3346750,-88.2752151489258,0,0,0
3596500,-85.530387878418,0,0,0
3846250,-87.8430938720703,0,0,0
4096000,-90.590690612793,0,0,0
4345750,-77.8634490966797,0,0,0
4595500,-90.6691055297852,0,0,0
4845250,-67.3920364379883,0,0,0
5095000,-89.8976974487305,0,0,0
5344750,-91.9650955200195,0,0,0
5594500,-92.5885696411133,0,0,0
5844250,-73.7122497558594,0,0,0
6094000,-61.0335731506348,0,0,0
6343750,-91.9707794189453,0,0,0
6593500,-81.7364349365234,0,0,0
6843250,-82.8919830322266,0,0,0
7093000,-75.3890151977539,0,0,0
7342750,-43.6812515258789,0,0,0
7592500,-89.5358428955078,0,0,0
7842250,-90.7554016113281,0,0,0
8092000,-85.0374221801758,0,0,0
8341750,-83.8822479248047,0,0,0
8591500,-87.4375915527344,0,0,0
8841250,-75.9952087402344,0,0,0
9091000,-84.3056030273438,0,0,0
9340750,-55.1857376098633,0,0,0
9590500,-56.9834594726563,0,0,0
9840250,-38.2652473449707,0,0,0
10090000,-76.2587509155273,0,0,0
10339750,-84.2739639282227,0,0,0
10589500,-91.5525894165039,0,0,0
10839250,-77.8851547241211,0,0,0
11089000,-85.9136352539063,0,0,0
11338750,-78.5654296875,0,0,0
11588500,-56.5653266906738,0,0,0
11838250,-43.4232940673828,0,0,0
12088000,-54.0642051696777,0,0,0
12337750,-84.0787963867187,0,0,0
12587500,-79.115852355957,0,0,0
12837250,-85.0067901611328,0,0,0
13087000,-92.8266372680664,0,0,0
13336750,-84.2468109130859,0,0,0
13586500,-39.3241882324219,0,0,0
13836250,-42.6536636352539,0,0,0
14086000,-81.7091903686523,0,0,0
14335750,-74.7076263427734,0,0,0
14585500,-72.3170547485352,0,0,0
14835250,-49.3838310241699,0,0,0
15085000,-34.2610969543457,0,0,0
15334750,-47.4633865356445,0,0,0
15584500,-48.7942810058594,0,0,0
15834250,-48.3530807495117,0,0,0
16084000,-65.5868759155273,0,0,0
16333750,-70.0572814941406,0,0,0
16583500,-80.8580551147461,0,0,0
16833250,-77.456169128418,0,0,0
17083000,-71.0579833984375,0,0,0
17332750,-90.1336669921875,0,0,0
17582500,-43.4125289916992,0,0,0
17832250,-58.9274864196777,0,0,0
18082000,-89.7265396118164,0,0,0
18331750,-86.6369934082031,0,0,0
18581500,-87.4892959594727,0,0,0
18831250,-93.2421264648438,0,0,0
19081000,-76.8948669433594,0,0,0
19330750,-94.5514144897461,0,0,0
19580500,-94.7807846069336,0,0,0
19830250,-76.7155914306641,0,0,0
20080000,-91.037239074707,0,0,0
20329750,-92.0322341918945,0,0,0
20579500,-91.6189498901367,0,0,0
20829250,-93.2120971679688,0,0,0
21079000,-88.6941833496094,0,0,0
21328750,-90.2188034057617,0,0,0
21578500,-57.4434356689453,0,0,0
21828250,-75.5342864990234,0,0,0
22078000,-94.8442535400391,0,0,0
22327750,-93.678108215332,0,0,0
22577500,-91.9867477416992,0,0,0
22827250,-87.1397323608398,0,0,0
23077000,-94.3854675292969,0,0,0
23326750,-94.9446792602539,0,0,0
23576500,-61.3547019958496,0,0,0
23826250,-93.5045928955078,0,0,0
24076000,-88.9646835327148,0,0,0
24325750,-95.4394073486328,0,0,0
24575500,-94.9722900390625,0,0,0
24825250,-76.5884094238281,0,0,0
25075000,-95.3993606567383,0,0,0
25324750,-89.6039810180664,0,0,0
25574500,-86.2854766845703,0,0,0
25824250,-89.8316345214844,0,0,0
26074000,-94.7080764770508,0,0,0
26323750,-86.4890594482422,0,0,0
26573500,-87.7915191650391,0,0,0
26823250,-90.2530517578125,0,0,0
27073000,-85.227653503418,0,0,0
27322750,-84.0731964111328,0,0,0
27572500,-90.8272094726563,0,0,0
27822250,-87.7799758911133,0,0,0
28072000,-90.3707275390625,0,0,0
28321750,-91.642578125,0,0,0
28571500,-90.8731689453125,0,0,0
28821250,-92.663818359375,0,0,0
29071000,-95.8313293457031,0,0,0
29320750,-94.2296371459961,0,0,0
29570500,-90.9672698974609,0,0,0
29820250,-93.2138137817383,0,0,0
30070000,-94.7179412841797,0,0,0
30319750,-89.3645477294922,0,0,0
30569500,-91.7635803222656,0,0,0
30819250,-95.1848220825195,0,0,0
31069000,-94.8596267700195,0,0,0
31318750,-95.3771286010742,0,0,0
31568500,-95.5805511474609,0,0,0
31818250,-91.6329116821289,0,0,0
32068000,-94.2907867431641,0,0,0
32317750,-94.6551742553711,0,0,0
32567500,-91.2900695800781,0,0,0
32817250,-90.3895492553711,0,0,0
33067000,-91.5172271728516,0,0,0
33316750,-93.6211776733398,0,0,0
